margin float 15.00
target0 rect 54.0425,-820.1665,0.0000,2.3333,2.2884,0
target1 rect 87.8930,-816.2876,0.0000,2.4444,2.2884,0
target2 rect 119.7745,-816.4278,0.0000,2.3333,2.2884,0
bk0 rect 85.5323,-810.7457,0.0000,2.9609,1.4196,0
bk1 rect 70.3640,-831.7267,0.0000,7.0948,1.4818,0
bk2 rect 24.2465,-826.9047,0.0000,10.7770,2.2500,0
bk3 rect 23.9107,-818.8841,0.0000,10.7646,2.2500,0
bk4 rect 28.4368,-822.7717,0.0000,3.1004,2.4016,0
bk5 rect 51.5979,-828.0861,0.0000,5.4751,10.4388,0
bk6 rect 84.3197,-827.8778,0.0000,5.4541,10.4280,0
bk7 rect 117.0392,-827.7338,0.0000,5.4354,10.4183,0
bk8 rect 61.1822,-818.2344,0.0000,1.7454,11.7569,0
bk9 rect 133.3082,-852.1035,0.0000,6.8751,3.3098,0
bk10 rect 128.7940,-853.1899,0.0000,3.5912,7.8611,0
bk11 rect 71.5357,-817.6918,0.0000,6.8751,3.3098,0
bk12 rect 67.0216,-818.7783,0.0000,3.5912,7.8611,0
bk13 rect 133.0762,-854.4535,125.8250,2.1403,3.6833,0
bk14 rect 69.8918,-851.6331,128.4830,2.1403,3.6833,0
bk15 rect 89.1200,-846.1608,127.7360,2.1494,3.7154,0
bk16 rect 108.3665,-840.6885,127.5300,2.1403,3.6833,0
bk17 rect 127.6039,-835.2162,127.3790,2.1403,3.6833,0
bk18 rect 45.1821,-837.8681,129.2010,2.1403,3.6833,0
bk19 rect 64.4195,-832.3958,128.9460,2.1403,3.6833,0
bk20 rect 83.6660,-826.9235,128.8870,2.1312,3.6513,0
bk21 rect 102.8942,-821.4511,128.4480,2.1403,3.6833,0
bk22 rect 122.1316,-815.9788,128.6810,2.1403,3.6833,0
bk23 rect 141.3689,-810.5065,128.4240,2.1403,3.6833,0
bk24 rect 39.7098,-818.6307,129.7600,2.1403,3.6833,0
bk25 rect 58.9472,-813.1584,128.8810,2.1403,3.6833,0
bk26 rect 78.1846,-807.6861,128.8210,2.1403,3.6833,0
bk27 rect 97.4128,-802.2138,128.7380,2.1494,3.7154,0
bk28 rect 116.6593,-796.7415,128.6640,2.1403,3.6833,0
bk29 rect 101.4840,-853.0433,126.9570,2.1403,3.6833,0
bk30 rect 120.7214,-847.5710,127.3580,2.1403,3.6833,0
bk31 rect 139.9678,-842.0987,126.9870,2.1312,3.6513,0
bk32 rect 38.2996,-850.2229,129.3270,2.1403,3.6833,0
bk33 rect 57.5370,-844.7506,129.0680,2.1403,3.6833,0
bk34 rect 76.7835,-839.2783,128.7940,2.1312,3.6513,0
bk35 rect 96.0664,-833.8060,127.7060,2.0856,3.4910,0
bk36 rect 115.2490,-828.3337,127.5770,2.1403,3.6833,0
bk37 rect 134.4864,-822.8614,128.5320,2.1403,3.6833,0
bk38 rect 52.0738,-825.5132,128.9880,2.1312,3.6513,0
bk39 rect 71.3020,-820.0409,128.7290,2.1403,3.6833,0
bk40 rect 109.7767,-809.0963,128.5760,2.1403,3.6833,0
bk41 rect 129.0141,-803.6240,128.6640,2.1403,3.6833,0
bk42 rect 46.5924,-806.2759,129.4960,2.1403,3.6833,0
bk43 rect 65.8206,-800.8036,129.0360,2.1494,3.7154,0
bk44 rect 85.0671,-795.3313,128.8840,2.1403,3.6833,0
bk45 rect 79.5843,-854.1724,0.0000,0.7545,1.0986,0
bk46 rect 78.8965,-816.0607,0.0000,0.7545,1.0986,0
bk47 rect 64.7585,-845.9134,0.0000,0.7545,1.0986,0
bk48 rect 41.6737,-852.4802,0.0000,0.7545,1.0986,0
bk49 rect 73.0176,-831.0876,0.0000,0.7545,1.0986,0
bk50 rect 49.9327,-837.6544,0.0000,0.7545,1.0986,0
bk51 rect 58.1918,-822.8286,0.0000,0.7545,1.0986,0
bk52 rect 66.4508,-808.0028,0.0000,0.7545,1.0986,0
bk53 rect 43.3660,-814.5696,0.0000,0.7545,1.0986,0
bk54 rect 74.7098,-793.1770,0.0000,0.7545,1.0986,0
bk55 rect 51.6250,-799.7438,0.0000,0.7545,1.0986,0
bk56 rect 91.7863,-801.3383,0.0000,0.9884,0.9884,0
bk57 rect 107.7671,-799.9885,0.0000,0.9884,0.9884,0
bk58 rect 96.5483,-822.7555,0.0000,0.9884,0.9884,0
bk59 rect 101.4700,-842.3960,0.0000,0.9884,0.9884,0
bk60 rect 118.5810,-849.8348,0.0000,0.9884,0.9884,0
bk61 rect 134.3052,-838.9314,0.0000,0.9884,0.9884,0
bk62 rect 121.2044,-830.6942,0.0000,0.9884,0.9884,0
bk63 rect 131.0079,-817.8859,0.0000,0.9884,0.9884,0
bk64 rect 145.7318,-821.3245,0.0000,0.9884,0.9884,0
bk65 rect 144.4667,-801.6451,0.0000,0.9884,0.9884,0
bk66 rect 119.3538,-803.7041,0.0000,0.9884,0.9884,0
bk67 rect 46.2087,-797.1935,138.3906,1.2354,1.2354,0
bk68 rect 120.8505,-810.8612,138.3906,1.2354,1.2354,0
bk69 rect 118.3737,-814.4517,129.0532,1.9767,1.9767,0
bk70 rect 83.6426,-809.1535,128.0000,1.8106,11.4874,0
bk71 rect 39.0034,-793.2909,129.9472,0.9212,1.1494,0
bk72 rect 93.1309,-844.1685,0.0000,14.1177,6.6046,0
bk73 rect 86.1347,-823.5423,0.0000,1.7564,1.7982,0
bk74 rect 88.7554,-818.8769,0.0000,2.9832,7.5867,0
bk75 rect 91.1758,-816.3416,0.0000,1.6553,2.9186,0
bk76 rect 118.8312,-823.3739,0.0000,1.7564,1.7982,0
bk77 rect 112.6429,-821.6341,0.0000,2.9662,7.5269,0
bk78 rect 114.6825,-817.7996,0.0000,1.6553,2.9186,0
bk79 rect 53.4438,-823.7528,0.0000,1.7564,1.7982,0
bk80 rect 49.1697,-816.8273,0.0000,2.9662,7.5269,0
bk81 rect 51.2093,-812.9928,0.0000,1.6553,2.9186,0
